r_R,iter_0,iter_1
0.25375000000000003,-0.3333333333333333,-0.3096596243430206
0.26125,-0.3333333333333333,-0.3055850596462146
0.26875000000000004,-0.3333333333333333,-0.30422478214248194
0.27625,-0.3333333333333333,-0.3034664682760261
0.28375,-0.3333333333333333,-0.30296006325074193
0.29125,-0.3333333333333333,-0.30258850124444125
0.29874999999999996,-0.3333333333333333,-0.30229968910287885
0.30625,-0.3333333333333333,-0.30206635623673717
0.31375,-0.3333333333333333,-0.3018726185410133
0.32125000000000004,-0.3333333333333333,-0.3017084946910528
0.32875,-0.3333333333333333,-0.3015673458574944
0.33625,-0.3333333333333333,-0.301444557125552
0.34375,-0.3333333333333333,-0.30133679926598966
0.35125,-0.3333333333333333,-0.3012416046312271
0.35875,-0.3333333333333333,-0.3011571114501268
0.36624999999999996,-0.3333333333333333,-0.3010818740327125
0.37375,-0.3333333333333333,-0.3010147540634061
0.38125,-0.3333333333333333,-0.30095484217845614
0.38875,-0.3333333333333333,-0.30090140281297545
0.39625,-0.3333333333333333,-0.30085383454773024
0.40375,-0.3333333333333333,-0.3008116410392769
0.41125,-0.3333333333333333,-0.3007744093368292
0.41874999999999996,-0.3333333333333333,-0.3007417934567267
0.42625,-0.3333333333333333,-0.30071350176553435
0.43374999999999997,-0.3333333333333333,-0.30068928716644255
0.44125000000000003,-0.3333333333333333,-0.30066893937916084
0.44875,-0.3333333333333333,-0.3006522788041601
0.45625,-0.3333333333333333,-0.30063915160074656
0.46375,-0.3333333333333333,-0.3006294257057611
0.47125,-0.3333333333333333,-0.30062298758900874
0.47875,-0.3333333333333333,-0.3006197395915542
0.48624999999999996,-0.3333333333333333,-0.30061959772959523
0.49375,-0.3333333333333333,-0.30062248987366796
0.50125,-0.3333333333333333,-0.3006283542331574
0.50875,-0.3333333333333333,-0.3006371380913554
0.51625,-0.3333333333333333,-0.3006487967479528
0.5237499999999999,-0.3333333333333333,-0.3006632926348179
0.53125,-0.3333333333333333,-0.3006805945778758
0.53875,-0.3333333333333333,-0.3007006771833616
0.54625,-0.3333333333333333,-0.3007235203310381
0.55375,-0.3333333333333333,-0.3007491087604177
0.56125,-0.3333333333333333,-0.3007774317388065
0.56875,-0.3333333333333333,-0.30080848280225975
0.5762499999999999,-0.3333333333333333,-0.30084225956241173
0.58375,-0.3333333333333333,-0.30087876357371235
0.5912499999999999,-0.3333333333333333,-0.3009179459532131
0.59875,-0.3333333333333333,-0.3009598525796839
0.60625,-0.3333333333333333,-0.3010045083476146
0.61375,-0.3333333333333333,-0.3010519302256238
0.62125,-0.3333333333333333,-0.30110213926025375
0.62875,-0.3333333333333333,-0.30115516075536475
0.63625,-0.3333333333333333,-0.3012110245042754
0.64375,-0.3333333333333333,-0.3012697650772094
0.65125,-0.3333333333333333,-0.3013314221675723
0.65875,-0.3333333333333333,-0.3013960749789293
0.66625,-0.3333333333333333,-0.30146381556643315
0.67375,-0.3333333333333333,-0.30153462868525205
0.68125,-0.3333333333333333,-0.3016085793634856
0.68875,-0.3333333333333333,-0.3016857405785771
0.69625,-0.3333333333333333,-0.3017661941010938
0.70375,-0.3333333333333333,-0.30185003146161943
0.7112499999999999,-0.3333333333333333,-0.3019373642273074
0.71875,-0.3333333333333333,-0.3020283079788407
0.72625,-0.3333333333333333,-0.3021229778792804
0.73375,-0.3333333333333333,-0.30222151730443525
0.74125,-0.3333333333333333,-0.3023240868565985
0.74875,-0.3333333333333333,-0.3024308666172048
0.75625,-0.3333333333333333,-0.3025418863709742
0.7637499999999999,-0.3333333333333333,-0.30265746503595314
0.77125,-0.3333333333333333,-0.3027779258076069
0.77875,-0.3333333333333333,-0.3029035572206078
0.78625,-0.3333333333333333,-0.3030346857314599
0.79375,-0.3333333333333333,-0.3031713432687067
0.80125,-0.3333333333333333,-0.30331412348769465
0.80875,-0.3333333333333333,-0.30346365008198933
0.8162499999999999,-0.3333333333333333,-0.3036204728305524
0.82375,-0.3333333333333333,-0.3037852005942364
0.83125,-0.3333333333333333,-0.3039584553603921
0.83875,-0.3333333333333333,-0.30414120393025973
0.84625,-0.3333333333333333,-0.30433443785076264
0.85375,-0.3333333333333333,-0.30453932300648756
0.86125,-0.3333333333333333,-0.3047560141197077
0.8687499999999999,-0.3333333333333333,-0.3049872857301268
0.87625,-0.3333333333333333,-0.30523514363713594
0.88375,-0.3333333333333333,-0.3055019074746303
0.89125,-0.3333333333333333,-0.30578937554032365
0.8987499999999999,-0.3333333333333333,-0.306102381366881
0.90625,-0.3333333333333333,-0.30644557919814175
0.91375,-0.3333333333333333,-0.3068233997516102
0.9212499999999999,-0.3333333333333333,-0.30724242251753153
0.92875,-0.3333333333333333,-0.30771563500556615
0.93625,-0.3333333333333333,-0.30825759879678105
0.94375,-0.3333333333333333,-0.3087041720034723
0.9512499999999999,-0.3333333333333333,-0.30921993576332824
0.95875,-0.3333333333333333,-0.30987203658200796
0.96625,-0.3333333333333333,-0.3107300050336512
0.9737499999999999,-0.3333333333333333,-0.3119264021679546
0.98125,-0.3333333333333333,-0.3137575027929584
0.98875,-0.3333333333333333,-0.31709706805981386
0.99625,-0.3333333333333333,-0.32704593299945267
