R,n_elem,J,T,A,Q,P,QC,TC
0.7,100.0,1.2,2436.5011272132783,1977.726224266128,926.3609720673396,546749.5744083204,0.0878879273244129,0.3236261637006078
0.7,100.0,1.3666666666666667,1696.2850294455636,1478.8536068479748,688.1067311666543,334225.2911644931,0.0652837027937939,0.2253075980515182
0.7,100.0,1.5333333333333332,1190.721797733836,1111.6099646332775,513.6418931064114,209110.9668948364,0.0487314586142005,0.1581565972333577
0.7,100.0,1.7,834.2424017519111,832.8062508164569,381.66071704164176,132143.68742807943,0.0362098257303318,0.1108075284923598
0.7,100.0,1.8666666666666667,570.5736617718861,611.7965859693668,277.44453618208945,82309.13376219115,0.0263223796854369,0.0757859551984029
0.7,100.0,2.033333333333333,371.6913847310877,432.2507896521408,193.054392580389,49224.01083402447,0.0183159167283339,0.04936958804475
0.7,100.0,2.2,217.2351319342127,283.8057750743059,123.6194965870288,26589.51797088826,0.0117283236875522,0.0288540692978348
0.7,100.0,2.3666666666666667,88.7155855273175,159.63590213171432,65.86542844773302,10094.06070729915,0.0062489420033391,0.0117835712382766
0.7,100.0,2.533333333333333,-21.848881966234675,52.81459519198986,16.254989271819312,-2322.415728076918,0.0015421821070382,-0.0029020589290542
0.7,100.0,2.7,-122.36243199046771,-41.06533817818827,-26.228539183160194,-12203.584679893143,-0.0024884165191142475,-0.016252684640225595
